,count,mean,std,min,25%,50%,75%,max,missing_pct,skew,kurtosis
TotalCost_max_3m_lane_state,147621.0,2089.045944768024,1069.0312055732525,115.0,1175.0,1960.0,2800.0,14000.0,0.0,0.6695716019036483,0.3089001506305795
TotalCost_mean_3m_lane_state,147621.0,665.0725590204555,520.6088247133754,74.0,311.0483834452585,525.1347786666668,682.5701438848921,4526.228527131782,0.0,2.006857003804108,4.084297153802812
TotalCost_count_3m_lane_state,147621.0,246.6795103677661,212.4237070072599,2.0,88.0,138.0,446.0,694.0,0.0,0.8398754472198535,-0.8998427243503397
TotalCost_std_3m_lane_state,147621.0,359.422980172091,184.44196999885432,0.0,217.5697750947255,367.2941150575716,466.7359839691535,5458.855801966806,0.0,1.1194666738442347,8.64923884791345
TotalCost_min_6m_lane_state,147621.0,132.57024135756052,137.46426280516334,1.0,60.0,75.0,150.0,2975.0,0.0,4.191469415132102,32.406031476797814
TotalCost_max_6m_lane_state,147621.0,2285.550853114055,1154.108289256819,150.0,1400.0,2100.0,3000.0,14000.0,0.0,0.8157836019254479,1.6366057395576417
TotalCost_mean_6m_lane_state,147621.0,657.1823505051067,511.6704332591251,109.16666666666669,300.40830319469563,529.7344179279434,675.7580357142857,4069.09993939394,0.0,1.980642043378444,3.8942601149467913
TotalCost_count_6m_lane_state,147621.0,451.7186511404204,409.8252330547825,2.0,152.0,264.0,797.0,1325.0,0.0,0.9558894133355915,-0.6304428088460026
TotalCost_std_6m_lane_state,147621.0,362.01369631064654,182.0845664070004,0.0,219.54351799058043,374.4518469233768,471.776179729161,3351.153076905461,0.0,1.2697351427773578,8.366586291739669
CreationDate_is_weekend,147621.0,0.10470732483860698,0.3061769684310476,0.0,0.0,0.0,0.0,1.0,0.0,2.5821539272985707,4.667582141453183
CreationDate_is_eoq,147621.0,0.05381348182169204,0.22565002973478548,0.0,0.0,0.0,0.0,1.0,0.0,3.954730817561601,13.640080637836306
CreationDate_is_holiday,147621.0,0.02332323991843979,0.15092852847725843,0.0,0.0,0.0,0.0,1.0,0.0,6.316674827406598,37.900894364205534
CreationDate_day_of_year_sin,147621.0,0.13040088077614792,0.7167410477232271,-0.9999994220246924,-0.5716666713027052,0.2489398085537665,0.8460288880917339,0.9999855506507186,0.0,-0.257985568426094,-1.456777398620954
CreationDate_day_of_year_cos,147621.0,-0.09222071673733812,0.6788076469468962,-0.9999791929590824,-0.765583517007675,-0.1318585157173911,0.5385835804920232,1.0,0.0,0.16601532943821823,-1.37718490648786
CreationDate_day_of_week_sin,147621.0,0.22350482901302368,0.6179506797810617,-0.9749279121818236,-0.433883739117558,0.4338837391175582,0.7818314824680298,0.9749279121818236,0.0,-0.3844799163801428,-1.0987732670451922
CreationDate_day_of_week_cos,147621.0,-0.0327980496861342,0.7530692299961067,-0.9009688679024191,-0.900968867902419,-0.2225209339563143,0.6234898018587336,1.0,0.0,0.10244033520744569,-1.5960931361245523
delta_lat,147621.0,0.023933527072706216,2.108276389821804,-9.550900000000002,-0.816900000000004,-0.0414000000000029,0.8080999999999996,9.8063,0.0,0.42040357062415884,3.364323334436746
delta_lon,147621.0,0.0008312069421023407,2.520635949973293,-13.154800000000009,-0.9561000000000064,-0.0041999999999973,1.1664999999999992,12.3339,0.0,-0.4506721457260347,3.868519073435816
HaversineMiles,147621.0,145.3152113629524,139.29347941636402,0.0,40.04813606894486,104.57762515029724,201.67812468132615,681.2502772334682,0.0,1.5530940770086574,2.1974060282787966
LengthOfHaul,147621.0,1.05505314284553,1.2574600129801214,-1.0,0.0,1.0,2.0,4.0,0.0,0.9403492604207286,-0.2108053954012412
OriginZipZone,147621.0,4.585350322786053,2.7388525631626397,0.0,2.0,5.0,7.0,9.0,0.0,-0.2848741693630517,-1.2769891568620284
DestinationZipZone,147621.0,4.48128653782321,2.8168565150434777,0.0,2.0,4.0,7.0,9.0,0.0,-0.23084319178344928,-1.3824544744684875
ChangeMatrix_InboundIndex,147621.0,-0.4076452537240636,0.6961101765576381,-1.0,-1.0,-1.0,0.0,1.0,0.0,0.7491347531155595,-0.6490031107828207
ChangeMatrix_OutboundIndex,147621.0,-0.7145731298392505,0.5667032255953088,-1.0,-1.0,-1.0,-1.0,1.0,0.0,1.861346137294591,2.385095623738962
Origin_RUCC_2023,147621.0,1.5625486888721793,1.0613759040298527,1.0,1.0,1.0,2.0,9.0,0.0,2.9392498896334365,11.534066731584893
Destination_RUCC_2023,147621.0,1.4324317000968696,0.9326794027939028,1.0,1.0,1.0,2.0,9.0,0.0,3.4572155124379242,15.987405169473057
Origin_Heavy_Wage,147621.0,27.7941221099979,1.6189481912237718,24.67,26.64,27.15,28.51,32.52,0.0,1.3808131456506345,1.723580316921565
Origin_Heavy_LQ,147621.0,1.034823569460782,0.2577225418354435,0.0900000035762786,0.8700000047683716,1.0700000524520874,1.1399999856948853,1.870000004768372,0.0,0.13156459105856017,1.1975771227470688
Origin_Heavy_Employment,147621.0,89816.11410300703,72646.0185958891,830.0,40700.0,59910.0,105730.0,212700.0,0.0,0.9054917752302258,-0.8002213913502905
Origin_Heavy_EmploymentPer1000,147621.0,13.904899270312878,3.4631446379809154,1.1720000505447388,11.72599983215332,14.395000457763672,15.361000061035156,25.054000854492188,0.0,0.1148416004279106,1.1585639715924398
Origin_Light_Wage,147621.0,22.86941817221127,1.2211838549674605,20.34,22.34,22.38,23.96,25.44,0.0,0.11549507875621792,-0.8489928558610802
Origin_Light_LQ,147621.0,0.9752084780884547,0.18026042257816052,0.1199999973177909,0.800000011920929,0.9100000262260436,1.090000033378601,1.5,0.0,0.7813339442891334,0.07056800593150836
Origin_Light_Employment,147621.0,38045.814619871155,25285.711926075437,570.0,18100.0,29110.0,71340.0,117250.0,0.0,0.6008767473299769,-0.5861214607769574
Origin_Light_EmploymentPer1000,147621.0,6.288562615404005,1.160332726889853,0.8050000071525574,5.175000190734863,5.872000217437744,7.046000003814697,9.68000030517578,0.0,0.7994921233399312,0.12354441334272259
Destination_Heavy_Wage,147621.0,27.701086904979643,1.5962694538390316,24.67,26.64,27.15,28.51,32.52,0.0,1.2791120727272256,1.6335397645442353
Destination_Heavy_LQ,147621.0,1.0207074906689448,0.23491001428785246,0.4799999892711639,0.8700000047683716,1.0199999809265137,1.1399999856948853,1.870000004768372,0.0,-0.09153015210709949,0.5338641219853222
Destination_Heavy_Employment,147621.0,90127.276945692,71971.02959964155,3260.0,42270.0,61410.0,105730.0,212700.0,0.0,0.9167800816695149,-0.7770853896842254
Destination_Heavy_EmploymentPer1000,147621.0,13.719651031346846,3.158329658858101,6.435999870300293,11.633999824523926,13.644000053405762,15.361000061035156,25.054000854492188,0.0,-0.11027266502471943,0.5095261016620376
Destination_Light_Wage,147621.0,22.843404529165902,1.2893572964280042,20.34,22.34,22.38,24.04,25.44,0.0,0.01616544635278704,-0.8821665880065108
Destination_Light_LQ,147621.0,0.9767989043841534,0.1781915959596974,0.5699999928474426,0.8199999928474426,0.9100000262260436,1.090000033378601,1.5,0.0,0.7763444374078761,-0.1828014955333046
Destination_Light_Employment,147621.0,38757.02677803294,24963.160873144785,2020.0,18100.0,35290.0,71340.0,117250.0,0.0,0.574070458420502,-0.6082229699219468
Destination_Light_EmploymentPer1000,147621.0,6.297660705065656,1.1459791827273826,3.658999919891357,5.315000057220459,5.872000217437744,7.046000003814697,9.68000030517578,0.0,0.799000573426065,-0.12514616612393414
TotalCostOriginMean,147621.0,6.0420975502545735,0.8343901730484229,4.140679245317741,5.395376680480098,5.876601284237798,6.685610033750417,8.042578922283798,0.0,0.408069051092214,-0.6810927079409215
TotalCostDestinationMean,147621.0,6.047405940992018,0.7753927440814062,4.908747489228483,5.332712443675678,5.928522365246213,6.590109728988166,8.466279118980465,0.0,0.5147075351365727,-0.7973958578100988
AutoInventorySalesRatio,147621.0,1.3930375691805366,0.1245202637409336,1.085,1.325,1.412,1.48,1.611,0.0,-0.5486734674859611,0.0015011026711615472
AutoManufacturerInventoryValue,147621.0,8877.934670541454,201.8645615395283,8455.0,8786.0,8920.0,8975.0,9265.0,0.0,-0.7587245549593246,-0.049691967654764024
AutoPersonalConsumptionExpenditures,147621.0,45.34154438731617,1.888511481705009,43.294,43.57,44.624,47.568,47.876,0.0,0.2505508983732661,-1.70721389996803
FreightTSIndex,147621.0,137.57563490289323,0.9331214528148754,136.1,136.7,137.2,138.3,139.3,0.0,0.3666055939453846,-1.0704108285145741
FreightTSIndexChange,147621.0,-0.12651722993341058,0.8580671807645526,-1.3,-0.7,-0.2,0.4,1.6,0.0,0.41666888930811447,-0.7266579405312918
TruckTonnageIndex,147621.0,114.26454230766625,1.414781197913383,112.2,113.4,113.9,115.1,117.5,0.0,0.9194118600583031,0.05540517356281738
AutoManufacturerValueOfShipments,147621.0,12510.14010879211,716.47477924086,11392.0,12037.0,12227.0,13244.0,13724.0,0.0,0.3034822825196533,-1.2771326685257376
AutoIPManufacturing,147621.0,77.92292700293318,2.0748475007519565,71.0761,76.8143,76.8143,78.6829,83.5105,0.0,1.6804897992669652,1.4185269787436812
TotalManufacturerInventoryValue,147621.0,950980.2546046971,6411.002464383508,941981.0,946694.0,948592.0,956676.0,962917.0,0.0,0.8080541959626054,-0.7750648298643723
TotalManufacturerValueofShipments,147621.0,618526.5078410254,18666.336841135708,598328.0,606008.0,608530.0,634727.0,653231.0,0.0,0.8108998543178938,-0.8851690435271764
TotalManufacturerInventoryShipmentsRatios,147621.0,1.539574450789522,0.035609035854463594,1.47,1.51,1.56,1.57,1.58,0.0,-0.7712239859046479,-0.9763574891761087
ConsumerGoodsIndustrialProduction,147621.0,97.62898407069456,0.723100803005049,95.9724,97.1991,97.7022,98.2645,99.0507,0.0,-0.4297429902348708,-0.3051140666475982
TruckingProducerPriceIndex,147621.0,205.35959081025058,11.018489751557363,189.071,199.323,201.917,209.128,225.722,0.0,0.8127091179404297,-0.47384588466364663
TruckingLDProducerPriceIndex,147621.0,179.96020390052908,13.04384534300197,170.064,171.135,173.557,184.635,207.237,0.0,1.2781821379877414,-0.01637324042428112
TotalVehicleSales,147621.0,16.56264620209862,0.7124488996231227,14.999,16.006,16.66,16.998,18.35,0.0,0.07685754788925563,0.5015709109742197
CapitalGoodsManufacturersNewOrders,147621.0,79339.29211291077,3370.9563463155555,74631.0,76154.0,78621.0,82778.0,85393.0,0.0,0.5079009426952998,-1.0153488934217687
