,count,mean,std,min,25%,50%,75%,max,missing_pct,skew,kurtosis
AutoIPManufacturing,305813.0,77.78454452263313,2.300631151131279,71.0761,76.8143,76.8143,78.6829,104.9979,0.008174262191094631,1.2977386229288133,4.8650493848613845
TotalManufacturerInventoryValue,305813.0,950872.5270050652,7060.947523036669,777012.0,946202.0,948592.0,956676.0,962917.0,0.008174262191094631,0.525249644441346,0.5858757995299149
TotalManufacturerValueofShipments,305813.0,618723.7406127274,19751.475793345708,525686.0,602992.0,608530.0,634727.0,653231.0,0.008174262191094631,0.7395137835568499,-1.0678655718296541
TotalManufacturerInventoryShipmentsRatios,305813.0,1.538968192980678,0.03715115313047574,1.47,1.51,1.56,1.57,1.61,0.008174262191094631,-0.7275167187322831,-1.1276355955911908
ConsumerGoodsIndustrialProduction,305813.0,97.69145423837443,0.7446310266863835,95.9724,97.1991,97.7022,98.2645,101.6584,0.008174262191094631,-0.24637957382091344,-0.35005871159074076
TruckingProducerPriceIndex,305813.0,205.5723644645584,11.763491296899161,172.697,198.2,201.917,209.128,225.722,0.008174262191094631,0.6915603693808583,-0.7819896541064448
TruckingLDProducerPriceIndex,305813.0,181.08150222194607,13.58275307580201,170.064,171.135,174.711,184.635,226.516,0.008174262191094631,1.1082090414031829,-0.45660249175221557
TotalVehicleSales,305813.0,16.613445523898594,0.711654425604748,13.123,16.043,16.66,16.998,18.35,0.008174262191094631,0.2075972182011016,0.7101998836482526
CapitalGoodsManufacturersNewOrders,305813.0,79303.78093802421,3580.2998185903,70638.0,76049.0,78621.0,82778.0,85393.0,0.008174262191094631,0.4966023136529859,-1.1605372734445507
LightWeightVehicleSales,305813.0,16.199789766949085,0.6903872636918507,12.662,15.669,16.293,16.56,17.892,0.008174262191094631,0.19303502666522557,0.8028320412902463
CapitalGoodsManufacturersValueOfShipments,305813.0,78450.4915520269,2666.7707224364917,67572.0,75958.0,78015.0,80833.0,83066.0,0.008174262191094631,0.3699407057972041,-1.150997148372958
ConsumerPriceInflation,305813.0,2.9499447486257675,0.03820090740483082,2.94952520485207,2.94952520485207,2.94952520485207,2.94952520485207,8.00279982052121,0.008174262191094631,118.04458827645409,15159.086202948605
AllCommoditiesProducerPriceIndex,305813.0,268.28460320522674,11.194200260231861,231.85,260.491,262.11,276.046,290.489,0.008174262191094631,0.8851560226965851,-0.8617057900966834
RecessionIndicator,305813.0,0.21539823356103244,0.10164345810200563,-0.27,0.13,0.23,0.27,0.57,0.008174262191094631,0.30120186214637623,-0.5267642293256891
TotalBusinessInventories,305813.0,2685663.2146082735,30923.81306269805,2094809.0,2660978.0,2676717.0,2712902.0,2736158.0,0.008174262191094631,0.571569532350593,-0.4677466306261948
OriginGasPrice,305656.0,3.3678372582249327,0.6548164584352918,2.336,2.911,3.13,3.835,6.087,0.05950862875116893,1.2769876284199848,1.5963068968646033
DestinationGasPrice,305626.0,3.419005905911146,0.6872755435511176,2.336,2.956,3.156,3.88,6.087,0.06931774338048248,1.2076922475625425,1.2515184258031238
OriginWDieselPrice,305656.0,4.131727010102861,0.8091481836717697,3.097,3.528,3.808,4.808,7.567,0.05950862875116893,1.0454109652750487,0.22858795823834965
DestinationWDieselPrice,305626.0,4.171669969178015,0.8229199245504027,3.083,3.568,3.875,4.877,7.567,0.06931774338048248,1.0491955139450577,0.37117987735583213
OriginMDieselPrice,305656.0,4.0930816866019315,0.7815961874985552,3.164,3.505,3.791,4.7,7.42,0.05950862875116893,1.1506037191573038,0.6563132398547711
DestinationMDieselPrice,305626.0,4.132819023905035,0.7955063574671507,3.08,3.569,3.857,4.785,7.42,0.06931774338048248,1.1457193086520783,0.7519841449561078
OriginZip3_TE,305838.0,6.301708082391288,0.8224623398527469,4.856852203916065,5.601256353849239,6.181133919027273,7.018587030872856,7.950848427292574,0.0,0.341609493282321,-1.066799905271704
DestinationZip3_TE,305838.0,6.285085245363804,0.7261046887576269,4.916821941590087,5.648580593806829,6.288776601605605,6.852353509670529,8.199226281668412,0.0,0.08070628050665626,-0.9918242822617853
TotalMiles_TE,305838.0,6.2077009281936615,0.9122540316329714,4.89530740353052,5.476945499583692,5.91352111478555,7.160624143660444,8.058577872209728,0.0,0.36314255030159787,-1.26561963811652
